ID,WindCode,StartDate,EndDate
765,000810.SZ,19980602,20751231
766,000878.SZ,19980602,20751231
767,600163.SH,19980602,20751231
768,600166.SH,19980602,20751231
769,000065.SZ,19980605,20751231
770,600151.SH,19980605,20751231
771,000815.SZ,19980609,20751231
772,000851.SZ,19980609,20751231
773,600152.SH,19980609,20751231
774,600162.SH,19980609,20751231
775,000809.SZ,19980616,20751231
776,000882.SZ,19980616,20751231
777,600153.SH,19980616,20751231
778,600161.SH,19980616,20751231
779,000812.SZ,19980623,20751231
780,600170.SH,19980623,20751231
781,000821.SZ,19980626,20751231
782,600160.SH,19980626,20751231
783,000820.SZ,19980630,20751231
784,600188.SH,19980701,20751231
785,000822.SZ,19980703,20751231
786,600180.SH,19980703,20751231
787,000830.SZ,19980807,20751231
788,600196.SH,19980807,20751231
789,600199.SH,19980812,20751231
790,000856.SZ,19980813,20751231
791,000832.SZ,19980825,20060629
792,600186.SH,19980825,20751231
793,000881.SZ,19980902,20751231
794,600169.SH,19980904,20751231
795,000831.SZ,19980911,20751231
796,000862.SZ,19980915,20751231
797,600155.SH,19980918,20751231
798,000581.SZ,19980924,20751231
799,600171.SH,19980924,20751231
800,000837.SZ,19980928,20751231
801,600181.SH,19980928,20070601
802,000850.SZ,19981007,20751231
803,600189.SH,19981007,20751231
804,600178.SH,19981014,20751231
805,000827.SZ,19981016,20050921
806,000825.SZ,19981021,20751231
807,600198.SH,19981021,20751231
808,000861.SZ,19981028,20751231
809,600183.SH,19981028,20751231
810,000860.SZ,19981104,20751231
811,600179.SH,19981104,20751231
812,000833.SZ,19981111,20751231
813,600187.SH,19981111,20751231
814,000859.SZ,19981119,20751231
815,600177.SH,19981119,20751231
816,000852.SZ,19981126,20751231
817,600172.SH,19981126,20751231
818,000887.SZ,19981203,20751231
819,600218.SH,19981203,20751231
820,000895.SZ,19981210,20751231
821,600191.SH,19981210,20751231
822,600123.SH,19981217,20751231
823,000078.SZ,19981218,20751231
824,000893.SZ,19981224,20751231
825,600192.SH,19981224,20751231
826,000877.SZ,19990107,20751231
827,600195.SH,19990107,20751231
828,000892.SZ,19990115,20751231
829,600201.SH,19990115,20751231
830,000890.SZ,19990119,20751231
831,600228.SH,19990119,20751231
832,000900.SZ,19990128,20751231
833,600167.SH,19990128,20751231
834,000908.SZ,19990203,20751231
835,600266.SH,19990203,20751231
836,000928.SZ,19990312,20751231
